,Station,numPurchases,Acquisition Value,State,stateCity,Recorded Deaths
34,ALABAMA AM UNIV POLICE DEPARTMENT HI_ED,2.0,82122.0,AL,,0.0
35,ALABASTER POLICE DEPARTMENT,38.0,140320.21000000002,AL,,0.0
36,ALACHUA COUNTY SHERIFF DEPARTMENT,62.0,310131.55,FL,FL: Gainesville,3.0
37,ALACHUA POLICE DEPARTMENT,10.0,1200.0,FL,,0.0
38,ALAMEDA COUNTY SHERIFF DEPARTMENT,52.0,4761255.09,CA,CA: Castro Valley,8.0
39,ALAMO POLICE DEPARTMENT,9.0,599800.0,TX,,0.0
40,ALAMOGORDO POLICE DEPARTMENT,7.0,486999.0,NM,NM: Alamogordo,1.0
41,ALAMOSA COUNTY SHERIFF DEPARTMENT,37.0,4007.1000000000004,CO,,0.0
42,ALAMOSA POLICE DEPARTMENT,17.0,693952.0,CO,CO: Alamosa,1.0
43,ALAPAHA POLICE DEPARTMENT,1.0,138.0,GA,,0.0
44,ALASKA DEPARTMENT OF PUBLIC SAFETY LEA,99.0,233761.57,AK,,0.0
45,ALBA POLICE DEPARTMENT,2.0,88084.0,TX,,0.0
46,ALBANY COUNTY SHERIFF DEPARTMENT,14.0,792095.0,NY,WY: Laramie,2.0
47,ALBANY POLICE DEPARTMENT,27.0,114549.0,TX,GA: Albany,4.0
48,ALBEMARLE  COUNTY POLICE DEPARTMENT,110.0,529002.0,VA,,0.0
49,ALBERT J ELLIS AIRPORT PD LEA,1.0,482.07,NC,,0.0
50,ALBERTVILLE POLICE DEPARTMENT,28.0,2075232.29,AL,,0.0
51,ALBION DEPARTMENT OF PUBLIC SAFETY,168.0,1872011.1400000001,MI,,0.0
52,ALBION POLICE DEPARTMENT,3.0,162527.0,NY,,0.0
53,ALBUQUERQUE POLICE DEPARTMENT,10.0,746277.76,NM,NM: Albuquerque,30.0
54,ALBURTIS POLICE DEPARTMENT,3.0,360.0,PA,,0.0
55,ALCESTER POLICE DEPARTMENT,2.0,998.0,SD,,0.0
56,ALCOA POLICE DEPARTMENT,1.0,89900.0,TN,,0.0
57,ALCONA COUNTY SHERIFF DEPARTMENT,6.0,2994.0,MI,,0.0
58,ALCORN COUNTY SHERIFF DEPARTMENT,10.0,3546.0,MS,,0.0
59,ALDERSON POLICE DEPARTMENT,3.0,96944.0,WV,,0.0
60,ALEXANDER CITY POLICE DEPARTMENT,30.0,1158621.7599999998,AL,AL: Alexander City,1.0
61,ALEXANDER COUNTY SHERIFF DEPARTMENT,17.0,4574.0,NC,,0.0
62,ALEXANDRIA POLICE DEPARTMENT,16.0,755802.56,KY,VA: Alexandria,1.0
63,ALEXANDRIA POLICE DEPARTMENTMENT,27.0,4759.7300000000005,IN,,0.0
64,ALEXANDRIA SHERIFF DEPARTMENT,30.0,14970.0,VA,,0.0
65,ALGER COUNTY SHERIFF DEPARTMENT,3.0,123183.0,MI,,0.0
66,ALGONA POLICE DEPARTMENT,1.0,4300.0,IA,,0.0
67,ALGOOD POLICE DEPARTMENT,14.0,821.9400000000002,TN,,0.0
68,ALLEGAN CITY POLICE DEPARTMENT,6.0,1852.68,MI,,0.0
69,ALLEGAN COUNTY SHERIFF DEPARTMENT,146.0,1302890.9999999995,MI,,0.0
70,ALLEGANY COUNTY SHERIFF DEPARTMENT,20.0,145016.88999999998,NY,,0.0
71,ALLEN CO SHERIFF DEPARTMENT,99.0,2465907.5799999996,OH,,0.0
72,ALLEN COUNTY SHERIFF DEPARTMENT,22.0,179601.71,KY,OH: Lima,3.0
73,ALLEN POLICE DEPARTMENT,21.0,1078959.0,TX,TX: Allen,2.0
74,ALLENDALE COUNTY SHERIFF DEPARTMENT,3.0,1497.0,SC,,0.0
75,ALLENDALE POLICE DEPARTMENT,8.0,795457.74,SC,,0.0
76,ALLENHURST POLICE DEPARTMENT,9.0,112935.69,NJ,,0.0
77,ALLENSTOWN POLICE DEPARTMENT,4.0,1996.0,NH,,0.0
78,ALLIANCE POLICE DEPARTMENT,42.0,1030856.4099999998,OH,,0.0
79,ALMA POLICE DEPARTMENT,9.0,133583.0,GA,,0.0
80,ALMONT POLICE DEPARTMENT,3.0,360.0,MI,,0.0
81,ALPENA COUNTY SHERIFF DEPARTMENT,71.0,1489391.7200000002,MI,,0.0
82,ALPENA POLICE DEPARTMENT,4.0,1996.0,MI,,0.0
83,ALPINE COUNTY SHERIFF DEPARTMENT,4.0,1996.0,CA,,0.0
84,ALSIP POLICE DEPARTMENT,1.0,49897.0,IL,,0.0
85,ALTAMONTE SPRINGS POLICE DEPARTMENT,12.0,5266.0,FL,FL: Altamonte Springs,1.0
86,ALTON POLICE DEPARTMENT,23.0,49960.130000000005,TX,,0.0
87,ALTOONA POLICE DEPARTMENT,39.0,121890.25000000003,WI,,0.0
88,ALTURAS POLICE DEPARTMENT,15.0,147001.58,CA,,0.0
89,ALTUS POLICE DEPARTMENT,8.0,960.0,OK,,0.0
90,ALVIN POLICE DEPARTMENT,208.0,2131639.7699999996,TX,TX: Alvin,1.0
91,AMADOR COUNTY SHERIFF DEPARTMENT,8.0,800753.91,CA,,0.0
92,AMBERLEY VILLAGE POLICE DEPARTMENT,10.0,4990.0,OH,,0.0
93,AMELIA POLICE DEPARTMENT,10.0,4990.0,OH,,0.0
94,AMERICAN FORK POLICE DEPARTMENT,7.0,3493.0,UT,,0.0
95,AMES POLICE DEPARTMENT,28.0,9472.0,IA,,0.0
96,AMHERST COUNTY SHERIFF DEPARTMENT,82.0,793255.19,VA,VA: Amherst,1.0
97,AMHERST POLICE DEPARTMENT,2.0,110123.85,NY,,0.0
98,ANACONDA DEER LODGE COUNTY POLICE DEPARTMENT,1.0,90535.0,MT,,0.0
99,ANACORTES POLICE DEPARTMENT,4.0,2893.39,WA,,0.0
100,ANAHEIM POLICE DEPARTMENT,7.0,77445.0,CA,CA: Anaheim,13.0
101,ANCHORAGE POLICE DEPARTMENT,176.0,899408.669999997,AK,AK: Anchorage,13.0
102,ANDALUSIA POLICE DEPARTMENT,30.0,720002.8200000001,AL,,0.0
103,ANDERSON COUNTY SHERIFF DEPARTMENT,186.0,2705311.8299999977,TX,SC: Williamston,8.0
104,ANDERSON POLICE DEPARTMENT,98.0,199067.67,SC,SC: Anderson,6.0
105,ANDOVER POLICE DEPARTMENT,15.0,94122.42000000001,OH,,0.0
106,ANDREW COUNTY SHERIFF DEPARTMENT,15.0,7485.0,MO,,0.0
107,ANDREWS COUNTY SHERIFF DEPARTMENT,12.0,1476.0,TX,,0.0
108,ANDROSCOGGIN COUNTY SHERIFF,4.0,1996.0,ME,,0.0
109,ANGELO STATE UNIV POLICE DEPARTMENT HI_ED,2.0,998.0,TX,,0.0
110,ANGELS CAMP POLICE DEPARTMENT,4.0,1996.0,CA,,0.0
111,ANGOLA  POLICE DEPARTMENT,7.0,1119.6599999999999,IN,,0.0
112,ANNANDALE POLICE DEPARTMENT,3.0,7133.16,MN,,0.0
113,ANNAPOLIS POLICE DEPARTMENT,11.0,4242.0,MD,MD: Annapolis,1.0
114,ANNE ARUNDEL COMM COLLEGE PD HI_ED,11.0,3072.3199999999997,MD,,0.0
115,ANNE ARUNDEL COUNTY POLICE DEPARTMENT,38.0,197066.0,MD,MD: Glen Burnie,4.0
116,ANNE ARUNDEL COUNTY SHERIFF DEPARTMENT,40.0,27133.0,MD,,0.0
117,ANNISTON POLICE DEPARTMENT,29.0,347872.0,AL,AL: Anniston,2.0
118,ANOKA COUNTY SHERIFF DEPARTMENT,77.0,248968.56,MN,,0.0
119,ANOKA POLICE DEPARTMENT,117.0,932031.7000000003,MN,,0.0
120,ANSONIA POLICE DEPARTMENT,6.0,91350.42000000001,OH,,0.0
121,ANTHONY CORRECTIONAL CENTER,1.0,41061.0,WV,,0.0
122,ANTHONY POLICE DEPARTMENT,11.0,48551.0,TX,,0.0
123,ANTIGO POLICE DEPARTMENT,6.0,1911.0,WI,WI: Antigo,1.0
124,ANTIOCH POLICE DEPARTMENT,36.0,1792884.3700000008,IL,CA: Antioch,5.0
125,ANTRIM COUNTY SHERIFF DEPARTMENT,4.0,1996.0,MI,,0.0
126,APACHE COUNTY SHERIFF DEPARTMENT,6.0,602495.0,AZ,,0.0
127,APACHE JUNCTION POLICE DEPARTMENT,17.0,806179.0,AZ,AZ: Apache Junction,1.0
128,APACHE POLICE DEPARTMENT,1.0,63108.0,OK,,0.0
129,APOPKA POLICE DEPARTMENT,2.0,733499.0,FL,,0.0
130,APOSTC LAW ENFORCEMENT ACADEMY,21.0,2735.0,AL,,0.0
131,APPALACHIA POLICE DEPARTMENT,14.0,132709.0,VA,,0.0
132,APPANOOSE COUNTY SHERIFF DEPARTMENT,1.0,4300.0,IA,,0.0
133,APPLE RIVER POLICE DEPARTMENT,1.0,47023.0,IL,,0.0
134,APPLE VALLEY POLICE DEPARTMENT,2.0,276.0,MN,,0.0
135,APPLETON POLICE DEPARTMENT,26.0,881678.52,WI,WI: Appleton,3.0
136,AR DEPARTMENT OF CORRECTION PINE BLUFF HQ,53.0,25284.71,AR,,0.0
137,AR STATE PARKS,69.0,8280.0,AR,,0.0
138,AR STATE POLICE LITTLE ROCK,2.0,114352.0,AR,,0.0
139,ARAB POLICE DEPARTMENT,67.0,265427.05,AL,AL: Arab,1.0
140,ARANSAS PASS POLICE DEPARTMENT,2.0,8935.0,TX,,0.0
141,ARCADIA POLICE DEPARTMENT,14.0,3584.55,WI,,0.0
142,ARCANUM POLICE DEPARTMENT,7.0,674.13,OH,,0.0
143,ARCATA POLICE DEPARTMENT,14.0,3376.0,CA,,0.0
144,ARCHIE POLICE DEPARTMENT,2.0,82122.0,MO,,0.0
145,ARCHULETA COUNTY SHERIFF DEPARTMENT,6.0,6663.64,CO,,0.0
146,ARENAC COUNTYSHERIFF DEPARTMENT,6.0,828.0,MI,,0.0
147,ARGENTINE TOWNSHIP POLICE DEPARTMENT,14.0,6140.0,MI,,0.0
148,ARGO POLICE DEPARTMENT,4.0,165978.0,AL,,0.0
149,ARIZONA  DEPARTMENT OF AGRICULTURE LEA,22.0,7459.0,AZ,,0.0
150,ARIZONA  WESTERN COLLEGE PD HI_ED,28.0,146428.74,AZ,,0.0
151,ARIZONA DEPARTMENT OF PUBLIC SAFETY LEA,1191.0,73165597.01000004,AZ,,0.0
152,ARKADELPHIA POLICE DEPARTMENT,65.0,127469.80000000005,AR,,0.0
153,ARKANSAS LAW ENF TRAINING ACADEMY,66.0,57270.37,AR,,0.0
154,ARLINGTON COUNTY POLICE DEPARTMENT,14.0,1932.0,VA,VA: Arlington,2.0
155,ARLINGTON GREEN POLICE DEPARTMENT,7.0,5411.0,MN,,0.0
156,ARLINGTON POLICE DEPARTMENT,7.0,236093.0,WA,TX: Arlington,14.0
157,ARMA POLICE DEPARTMENT,3.0,396.0,KS,,0.0
158,ARMADA POLICE DEPARTMENT,25.0,5386.27,MI,,0.0
159,ARMSTRONG COUNTY SHERIFF DEPARTMENT,2.0,276.0,TX,,0.0
160,AROMA PARK POLICE DEPARTMENT,8.0,2482.1,IL,,0.0
161,AROOSTOOK COUNTY SHERIFF DEPARTMENT,21.0,6349.42,ME,,0.0
162,ARROYO GRANDE POLICE DEPARTMENT,6.0,169686.3,CA,,0.0
163,ARVADA POLICE DEPARTMENT,18.0,2484.0,CO,CO: Arvada,4.0
164,ASCENSION PARISH SHERIFF DEPARTMENT,10.0,1380.0,LA,,0.0
165,ASH GROVE POLICE DEPARTMENT,1.0,3148.0,MO,,0.0
166,ASHBY POLICE DEPARTMENT,2.0,637.0,MN,,0.0
167,ASHEVILLE POLICE DEPARTMENT,1.0,65070.0,NC,NC: Asheville,2.0
168,ASHLAND CITY POLICE DEPARTMENT,11.0,397496.27,TN,,0.0
169,ASHLAND CO SHERIFF DEPARTMENT,10.0,158393.0,OH,,0.0
170,ASHLAND POLICE DEPARTMENT,18.0,8486.0,OH,MA: Ashland,1.0
171,ASHLEY POLICE DEPARTMENT,5.0,50692.84,IN,,0.0
172,ASHTABULA COUNTY SHERIFF DEPARTMENT,9.0,5278.0,OH,OH: Rome,4.0
173,ASHTABULA POLICE DEPARTMENT,86.0,860450.0199999996,OH,OH: Ashtabula,1.0
174,ASHTON POLICE DEPARTMENT,6.0,91315.42000000001,ID,,0.0
175,ASHVILLE POLICE DEPARTMENT,16.0,129495.42000000001,OH,AL: Ashville,1.0
176,ASOTIN COUNTY SHERIFF DEPARTMENT,9.0,43929.77,WA,,0.0
177,ASSEMBLY SERGEANT AT ARMS (LEA),21.0,10315.0,CA,,0.0
178,ASSUMPTION PARISH SHERIFF DEPARTMENT,71.0,866766.7700000004,LA,,0.0
179,ASTON TOWNSHIP POLICE DEPARTMENT,2.0,670.0,PA,,0.0
180,ATASCOSA COUNTY SHERIFF DEPARTMENT,13.0,43295.0,TX,,0.0
181,ATHENS COUTY SHERIFF DEPARTMENT,35.0,910127.7699999994,OH,,0.0
182,ATHENS POLICE DEPARTMENT,84.0,292754.6000000002,TN,GA: Athens,1.0
183,ATKINSON COUNTY SHERIFF DEPARTMENT,23.0,185708.03,GA,GA: Pearson,1.0
184,ATKINSON POLICE DEPARTMENT,3.0,695.71,NE,,0.0
185,ATLANTA POLICE DEPARTMENT,99.0,1626528.34,TX,GA: Atlanta,15.0
186,ATLANTIC BEACH POLICE DEPARTMENT,21.0,69283.0,SC,,0.0
187,ATLANTIC CITY POLICE DEPARTMENT,54.0,859910.5599999997,NJ,NJ: Atlantic City,5.0
188,ATLANTIC COUNTY SHERIFF DEPARTMENT,4.0,164244.0,NJ,,0.0
189,ATLANTIC HIGHLANDS POLICE DEPARTMENT,1.0,41061.0,NJ,,0.0
190,ATLANTIC POLICE DEPARTMENT,4.0,552.0,IA,,0.0
191,ATTALLA POLICE DEPARTMENT,10.0,676982.0,AL,,0.0
192,ATTICA POLICE DEPARTMENT,2.0,998.0,OH,,0.0
193,ATTICA POLICE DEPARTMENTMENT,8.0,153493.0,IN,,0.0
194,AUBURN POLICE DEPARTMENT,175.0,1193933.249999999,NY,NY: Auburn,7.0
195,AUBURNDALE POLICE DEPARTMENT,34.0,14313.0,FL,,0.0
196,AUDRAIN COUNTY SHERIFF DEPARTMENT,17.0,6678.0,MO,,0.0
197,AUDUBON POLICE DEPARTMENT,1.0,499.0,MN,,0.0
198,AUGLAIZE COUNTY SHERIFF DEPARTMENT,25.0,8150.5,OH,,0.0
199,AUGUSTA COUNTY SHERIFF DEPARTMENT,1.0,65070.0,VA,,0.0
200,AUGUSTA TECH COLL CAMPUS PD HI_ED,5.0,1725.0,GA,,0.0
201,AURARIA CAMPUS POLICE DEPARTMENT HI_ED,14.0,9277.109999999999,CO,,0.0
202,AURORA POLICE DEPARTMENT,185.0,709762.9199999999,MO,CO: Aurora,21.0
203,AUSTIN COUNTY SHERIFF DEPARTMENT,34.0,736653.5499999999,TX,TX: Bellville,1.0
204,AUSTIN POLICE DEPARTMENT,750.0,2187906.019999999,TX,TX: Austin,32.0
205,AUSTIN POLICE DEPARTMENT.,7.0,871.1299999999999,AR,,0.0
206,AUSTINTOWN TWP POLICE DEPARTMENT,2.0,82122.0,OH,,0.0
207,AUTAUGA COUNTY SHERIFF DEPARTMENT,7.0,91386.0,AL,,0.0
208,AVALON POLICE DEPARTMENT,2.0,100916.0,NJ,,0.0
209,AVANT POLICE DEPARTMENT,2.0,5120.0,OK,,0.0
210,AVENAL STATE PRISON,13.0,156945.0,CA,,0.0
211,AVERY COUNTY SHERIFF DEPARTMENT,72.0,87944.30000000005,NC,NC: Morgantown,1.0
212,AVON BY THE SEA POLICE DEPARTMENT,4.0,140002.58000000002,NJ,,0.0
213,AVON LAKE POLICE DEPARTMENT,6.0,2994.0,OH,,0.0
214,AVON POLICE DEPARTMENT,77.0,18939.009999999987,SD,MN: St. Cloud,1.0
215,AVONDALE ESTATES POLICE DEPARTMENT,6.0,2994.0,GA,GA: Avondale Estates,1.0
216,AVONDALE POLICE DEPARTMENT,19.0,713960.3700000001,AZ,AZ: Avondale,5.0
217,AVOYELLES PARISH SHERIFF DEPARTMENT,12.0,5988.0,LA,LA: Mansura,1.0
218,AYDEN POLICE DEPARTMENT,22.0,127395.0,NC,,0.0
219,AYNOR POLICE DEPARTMENT,18.0,56506.24000000001,SC,,0.0
220,AZ ATTORNEY GENERALS OFFICE LEA,1.0,385.05,AZ,,0.0
221,AZ GAME AND FISH DEPARTMENT (LEA),128.0,2839768.4699999997,AZ,,0.0
222,AZ STATE UNIV POLICE DEPARTMENT HI_ED,62.0,110804.25000000003,AZ,,0.0
223,AZLE POLICE DEPARTMENT,23.0,19759.719999999998,TX,TX: Azle,1.0
224,AZUSA POLICE DEPARTMENT,4.0,1230534.66,CA,CA: Azusa,3.0
225,BABBIT POLICE DEPARTMENT,2.0,998.0,MN,,0.0
226,BACA COUNTY SHERIFF DEPARTMENT,12.0,222586.83999999997,CO,,0.0
227,BACON COUNTY SHERIFF DEPARTMENT,2.0,82122.0,GA,,0.0
228,BAD AXE POLICE DEPARTMENT,10.0,5513.62,MI,,0.0
229,BAGLEY POLICE DEPARTMENT,4.0,1996.0,MN,,0.0
230,BAILEY COUNTY SHERIFF DEPARTMENT,1.0,138.0,TX,,0.0
231,BAILEYTON POLICE DEPARTMENT,15.0,308426.33,TN,,0.0
232,BAINBRIDGE POLICE DEPARTMENT,11.0,2223.84,IN,,0.0
233,BAINBRIDGE TWP POLICE DEPARTMENT,2.0,343.25,OH,,0.0
234,BAIRD CITY MARSHALS OFFICE,3.0,360.0,TX,,0.0
235,BAKER COUNTY SHERIFF DEPARTMENT,17.0,1514870.4,OR,FL: Glen St. Mary,1.0
236,BAKER POLICE DEPARTMENT,11.0,2002.13,MT,,0.0
237,BAKERSFIELD POLICE DEPARTMENT,68.0,2058050.8699999996,CA,CA: Bakersfield,24.0
238,BALD HEAD ISLAND DPS,6.0,1391.42,NC,,0.0
239,BALDWIN BOROUGH POLICE DEPARTMENT,3.0,1497.0,PA,,0.0
240,BALDWIN CITY POLICE DEPARTMENT,4.0,480.0,KS,,0.0
241,BALDWIN COUNTY SHERIFF DEPARTMENT,43.0,58980.0,GA,AL: Bay Minette,3.0
242,BALDWIN TOWNSHIP POLICE DEPARTMENT,4.0,480.0,PA,,0.0
243,BALTIMORE CITY SHERIFF DEPARTMENT,51.0,13555.0,MD,,0.0
244,BALTIMORE COUNTY POLICE DEPARTMENT,274.0,136726.0,MD,MD: White Marsh,27.0
245,BALTIMORE POLICE DEPARTMENT,18.0,4675.84,OH,MD: Baltimore,31.0
246,BAMBERG COUNTY SHERIFF DEPARTMENT,13.0,3348.69,SC,,0.0
247,BANCROFT POLICE DEPARTMENT,1.0,41061.0,MI,,0.0
248,BANGOR POLICE DEPARTMENT,6.0,1514.0,MI,ME: Bangor,1.0
249,BANKS COUNTY SHERIFF DEPARTMENT,15.0,1947142.62,GA,,0.0
250,BANNING POLICE DEPARTMENT,12.0,3822.0,CA,CA: Banning,2.0
251,BARAGA COUNTY SHERIFF DEPARTMENT,4.0,2322.0,MI,,0.0
252,BARBERTON POLICE DEPARTMENT,10.0,734080.0,OH,OH: Barberton,1.0
253,BARBOUR COUNTY SHERIFF DEPARTMENT,12.0,21900.0,WV,AL: Eufaula,1.0
254,BARBOURSVILLE POLICE DEPARTMENT,6.0,2272.0,WV,,0.0
255,BARDWELL POLICE DEPARTMENT,11.0,98942.4,KY,,0.0
256,BARLING POLICE DEPARTMENT,4.0,1996.0,AR,,0.0
257,BARNEGAT TOWNSHIP POLICE DEPARTMENT,22.0,228392.94999999998,NJ,,0.0
258,BARNES COUNTY SHERIFF DEPARTMENT,16.0,53892.89,ND,,0.0
259,BARNESVILLE POLICE DEPARTMENT,6.0,2994.0,OH,,0.0
260,BARNSTABLE POLICE DEPARTMENT,14.0,32766.0,MA,,0.0
261,BARNSTEAD POLICE DEPARTMENT,8.0,94582.95,NH,,0.0
262,BARNWELL COUNTY SHERIFF DEPARTMENT,5.0,600.0,SC,,0.0
263,BARRE CITY POLICE DEPARTMENT,2.0,91519.0,VT,,0.0
264,BARREN COUNTY SHERIFF DEPARTMENT,7.0,128479.69,KY,KY: Glasgow,1.0
265,BARRINGTON POLICE DEPARTMENT,23.0,142674.82,RI,,0.0
266,BARROW COUNTY SHERIFF DEPARTMENT,18.0,280310.12999999995,GA,,0.0
267,BARRY COUNTY SHERIFF DEPARTMENT,46.0,522302.54,MO,MI: Dowling,1.0
268,BARRY TOWNSHIP POLICE DEPARTMENT,3.0,180598.0,MI,,0.0
269,BARSTOW POLICE DEPARTMENT,9.0,740071.0,CA,CA: Barstow,3.0
270,BARTHOLOMEW COUNTY SHERIFF DEPARTMENT,32.0,871896.0,IN,,0.0
271,BARTLESVILLE POLICE DEPARTMENT,16.0,1030802.43,OK,OK: Bartlesville,3.0
272,BARTLETT POLICE DEPARTMENT,115.0,713818.0,TN,,0.0
273,BARTON COUNTY  SHERIFF DEPARTMENT,28.0,7604.780000000001,KS,,0.0
274,BARTON COUNTY SHERIFF DEPARTMENT,2.0,82122.0,MO,,0.0
275,BARTONVILLE POLICE DEPARTMENT,31.0,231918.74,TX,,0.0
276,BARTOW COUNTY SHERIFF DEPARTMENT,213.0,23301.54999999998,GA,GA: NE White,2.0
277,BARTOW POLICE DEPARTMENT,23.0,11116.0,GA,,0.0
278,BASTROP COUNTY SHERIFF DEPARTMENT,92.0,855269.2,TX,TX: Del Valle,2.0
279,BASTROP POLICE DEPARTMENT,20.0,6190.0,TX,LA: Bastrop,1.0
280,BATES COUNTY SHERIFF DEPARTMENT,24.0,772083.0,MO,,0.0
281,BATESBURG-LEESVILLE POLICE DEPARTMENT,23.0,856126.91,SC,,0.0
282,BATH COUNTY SHERIFF,6.0,103912.0,KY,,0.0
283,BATON ROUGE  CITY CONSTABLE OFFICE,31.0,8610.0,LA,,0.0
284,BATON ROUGE POLICE DEPARTMENT,100.0,1294302.0,LA,LA: Baton Rouge,10.0
285,BATTLE CREEK POLICE DEPARTMENT,40.0,437487.92999999993,MI,MI: Battle Creek,1.0
286,BATTLE LAKE POLICE DEPARTMENT,2.0,637.0,MN,,0.0
287,BAXTER COUNTY SHERIFF DEPARTMENT,2.0,184580.0,AR,AR: Norfork,1.0
288,BAXTER POLICE DEPARTMENT,16.0,13494.889999999996,MN,,0.0
289,BAXTER SPRINGS POLICE DEPARTMENT,11.0,4767.0,KS,,0.0
290,BAY CITY DEPARTMENT OF PUBLIC SAFETY,22.0,62159.00000000001,MI,,0.0
291,BAY COUNTY SHERIFF DEPARTMENT,150.0,1614905.3099999984,MI,FL: Panama City,1.0
292,BAY DISTRICT SCHOOLS POLICE  K-12,8.0,3172.71,FL,,0.0
293,BAY HEAD POLICE DEPARTMENT,1.0,150375.0,NJ,,0.0
294,BAY MINETTE POLICE DEPARTMENT,4.0,552.0,AL,,0.0
295,BAY SPRINGS POLICE DEPARTMENT,4.0,1996.0,MS,,0.0
296,BAY ST LOUIS POLICE DEPARTMENT,15.0,80898.0,MS,,0.0
297,BAY VIEW POLICE DEPARTMENT,8.0,1790.5500000000002,OH,,0.0
298,BAYFIELD COUNTY SHERIFF DEPARTMENT,19.0,261225.57999999996,WI,,0.0
299,BAYFIELD MARSHALS OFFICE,4.0,63079.42,CO,,0.0
300,BAYOU LA BATRE POLICE DEPARTMENT,11.0,51467.0,AL,,0.0
301,BAYPORT POLICE DEPARTMENT,4.0,1996.0,MN,,0.0
302,BEACH CITY POLICE DEPARTMENT,1.0,138.0,OH,,0.0
303,BEACH HAVEN POLICE DEPARTMENT,8.0,375803.7,NJ,,0.0
304,BEACON FALLS POLICE,51.0,22925.429999999997,CT,,0.0
305,BEADLE COUNTY SHERIFF DEPARTMENT,11.0,4669.0,SD,,0.0
306,BEAN STATION POLICE DEPARTMENT,1.0,499.0,TN,,0.0
307,BEAR CREEK POLICE DEPARTMENT,4.0,82239.42,AL,,0.0
308,BEAR LAKE COUNTY SHERIFF DEPARTMENT,42.0,156065.81,ID,,0.0
309,BEAR VALLEY POLICE DEPARTMENT,2.0,998.0,CA,,0.0
310,BEARDSTOWN POLICE DEPARTMENT,2.0,998.0,IL,,0.0
311,BEATRICE POLICE DEPARTMENT,2.0,276.0,NE,,0.0
312,BEATTYVILLE POLICE DEPARTMENT,1.0,41061.0,KY,,0.0
313,BEAUFORT COUNTY SHERIFF DEPARTMENT,302.0,3295559.560000001,SC,SC: Seabrook,2.0
314,BEAUFORT POLICE DEPARTMENT,45.0,131145.79999999993,SC,NC: Beaufort,1.0
315,BEAUMONT POLICE DEPARTMENT,28.0,13250.0,TX,TX: Beaumont,8.0
316,BEAUREGARD PARISH SHERIFF DEPARTMENT,14.0,101981.0,LA,LA: DeRidder,2.0
